date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:54:31	89/89	---MCZ	200	added ('OK')	text/plain	date:Wed,%2029%20Jun%202022%2006:47:26%20GMT	https://caliph.my.id/robots.txt		(from )
14:54:32	21096/21096	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2009:24:32%20GMT	https://caliph.my.id/	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/index.html	(from )
14:54:32	949/949	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Jun%202022%2008:49:35%20GMT	https://caliph.my.id/public/storage/62b96f1f3085d.jpg	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/public/storage/62b96f1f3085d.jpg	(from https://caliph.my.id/)
14:54:33	121116/121116	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2008:13:08%20GMT	https://caliph.my.id/public/storage/636b6114c22b7.jpg	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/public/storage/636b6114c22b7.jpg	(from https://caliph.my.id/)
14:54:33	252772/252772	---MCZ	200	added ('OK')	text/css	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundle.css?ver=557	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/vendor.bundlea8c4.css	(from https://caliph.my.id/)
14:54:34	313226/313226	---M-Z	200	added ('OK')	text/css	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-dark.css?ver=557	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style-darka8c4.css	(from https://caliph.my.id/)
14:54:35	584/584	---MCZ	200	added ('OK')	text/css	date:Thu,%2024%20Nov%202022%2007:40:13%20GMT	https://caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/style.css?ver=90	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/theme/frontend/crypto-dark-v3/assets/css/stylecd0e.css	(from https://caliph.my.id/)
14:54:35	322101/322101	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Aug%202021%2009:24:44%20GMT	https://caliph.my.id/public/assets/backend/css/icons.min.css	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/public/assets/backend/css/icons.min.css	(from https://caliph.my.id/)
14:54:35	9376/9376	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2004%20Jun%202023%2001:56:01%20GMT	https://caliph.my.id/public/storage/71b82424cccb54f74e930fee0650678a.svg	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/public/storage/71b82424cccb54f74e930fee0650678a.svg	(from https://caliph.my.id/)
14:54:36	19215/19215	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2009:24:36%20GMT	https://caliph.my.id/blog	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/blog.html	(from https://caliph.my.id/)
14:54:36	15209/15209	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2009:24:36%20GMT	https://caliph.my.id/store	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/store.html	(from https://caliph.my.id/)
14:54:36	17990/17990	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2009:24:36%20GMT	https://caliph.my.id/projects	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/projects.html	(from https://caliph.my.id/)
14:54:37	2280/2280	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2009:24:37%20GMT	https://caliph.my.id/speedtest	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/speedtest.html	(from https://caliph.my.id/)
14:54:38	0/0	---MC-	307	error ('Temporary%20Redirect')	text/html	date:Wed,%2009%20Apr%202025%2009:24:37%20GMT	https://caliph.my.id/admin	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/admin	(from https://caliph.my.id/)
14:54:39	3916/3916	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202025%2009:24:39%20GMT	https://caliph.my.id/admin/auth/login	C:/Users/dm%20computers/Desktop/vajira%20web/caliph.my.id/admin/auth/login.html	(from https://caliph.my.id/)
